State,density_Group
Andaman and Nicobar Islands,Dense1
Andhra Pradesh,Dense2
Arunachal Pradesh,Dense1
Assam,Dense2
Bihar,Dense4
Chandigarh,Dense4
Chhattisgarh,Dense1
Delhi,Dense4
Goa,Dense2
Gujarat,Dense2
Haryana,Dense2
Himachal Pradesh,Dense1
Jammu and Kashmir,Dense1
Jharkhand,Dense2
Karnataka,Dense2
Kerala,Dense3
Ladakh,Dense1
Madhya Pradesh,Dense1
Maharashtra,Dense2
Meghalaya,Dense1
Mizoram,Dense1
Nagaland,Dense1
Odisha,Dense1
Puducherry,Dense4
Punjab,Dense2
Rajasthan,Dense1
Sikkim,Dense1
Tamil Nadu,Dense2
Tripura,Dense2
Uttar Pradesh,Dense3
Uttarakhand,Dense1
West Bengal,Dense4
